Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,496.500000,504.750000,491.000000,502.250000,492.729492,1775867
2022-06-13,500.750000,506.799988,494.399994,497.799988,488.363831,2658015
2022-06-14,499.399994,503.600006,492.049988,495.649994,486.254608,1325521
2022-06-15,498.500000,501.000000,493.250000,496.299988,486.892273,1213910
2022-06-16,498.299988,501.850006,492.700012,497.000000,487.578979,1778349
2022-06-17,493.000000,494.950012,482.250000,484.600006,475.414032,4334329
2022-06-20,486.500000,503.100006,484.600006,500.799988,491.306946,3139895
2022-06-21,501.649994,510.450012,497.899994,505.899994,496.310303,1819682
2022-06-22,505.500000,512.400024,495.149994,498.950012,489.492035,1766236
2022-06-23,500.000000,509.000000,499.049988,505.149994,495.574554,1065402
2022-06-24,507.000000,514.700012,506.350006,509.750000,500.087311,1581131
2022-06-27,517.500000,519.000000,512.250000,515.700012,505.924561,664059
2022-06-28,515.700012,515.700012,507.450012,512.099976,502.392731,1358007
2022-06-29,507.000000,512.900024,498.100006,501.200012,491.699402,1698999
2022-06-30,497.700012,502.899994,495.000000,495.950012,486.548920,1706703
2022-07-01,492.049988,512.700012,492.049988,511.250000,501.558899,1704654
2022-07-04,511.950012,526.900024,511.250000,525.000000,515.048279,2119912
2022-07-05,528.000000,532.799988,526.000000,530.700012,520.640198,1891633
2022-07-06,530.599976,544.750000,521.099976,542.950012,532.657959,2355807
2022-07-07,542.099976,552.299988,538.099976,543.549988,533.246643,1624706
2022-07-08,545.000000,548.450012,540.599976,543.900024,533.589966,759628
2022-07-11,539.099976,547.000000,539.099976,545.400024,535.061584,767902
2022-07-12,539.049988,545.000000,539.049988,543.450012,533.148499,383407
2022-07-13,542.000000,548.150024,540.049988,545.299988,534.963440,1655868
2022-07-14,545.900024,552.000000,544.049988,549.250000,538.838562,1608306
2022-07-15,550.250000,555.000000,543.400024,548.349976,537.955627,848018
2022-07-18,550.000000,553.599976,542.150024,550.099976,539.672485,1156564
2022-07-19,551.650024,553.400024,545.099976,549.450012,539.034790,986838
2022-07-20,552.000000,560.000000,550.200012,558.250000,547.667969,2544134
2022-07-21,558.200012,574.599976,558.000000,571.950012,563.835327,3414847
2022-07-22,574.750000,577.900024,567.599976,576.299988,568.123535,2036934
2022-07-25,570.000000,575.799988,564.150024,567.900024,559.842773,1440874
2022-07-26,565.599976,568.099976,556.250000,558.250000,550.329651,1549359
2022-07-27,555.900024,569.250000,555.900024,567.750000,559.694946,1151735
2022-07-28,568.500000,577.900024,568.049988,572.700012,564.574707,1914336
